3872	10001	219541	1	4
3923	10007	132789	1	1
3292	10010	29110	1	37
289	10013	60489	1	1
660	10014	79718	1	4
2377	10015	85365	1	9
857	10016	553115	1	1
1613	1003	1499	1	153
1036	10036	55723	1	7
400	10040	54472	1	1
3336	10048	54994	1	2
1719	10049	10273	1	1
3321	10051	10592	1	65
2191	10054	10055	1	65
1032	10075	10213	1	2
3234	10092	10095	1	5
3837	10093	10109	1	12
165	10094	10095	1	6
3161	10095	10096	1	8
1490	10096	10109	1	30
2588	10097	23640	1	1
4001	10109	57180	1	1
2766	10120	10121	1	2
1938	10121	51164	1	14
1482	10133	10318	1	3
1538	10155	23411	1	7
3284	1017	5925	1	318
2601	10188	84941	1	2
3253	10189	57187	1	15
3830	1019	1029	1	551
43	10197	57379	1	1
2584	1020	4734	1	3
3708	10204	23636	1	17
1470	10207	10413	1	1
862	1021	1029	1	275
4503	10211	10818	1	3
1260	10212	84324	1	5
2183	10213	11047	1	5
2577	1022	2960	1	3
1762	10226	23111	1	5
1124	10236	10291	1	1
320	1024	55090	1	4
2712	10241	440738	1	1
3538	1025	5430	1	33
252	10254	10617	1	6
4483	1026	10133	1	6
3028	1027	8900	1	23
1744	10273	120892	1	1
4460	10274	23244	1	3
2960	1029	6597	1	41
1503	103	3178	1	9
3267	10325	57521	1	4
2671	10328	56851	1	1
3594	10376	10576	1	2
662	10383	203068	1	11
1644	1039	4609	1	14
1844	10393	29945	1	11
4297	104	5300	1	1
1901	10403	25936	1	26
1378	10413	51421	1	3
1226	10419	79084	1	8
1942	10421	10713	1	1
1518	10426	114791	1	6
1717	10440	51025	1	15
4208	10454	23118	1	6
1735	10459	51455	1	42
923	10466	91949	1	12
3952	10477	79594	1	2
3018	10482	51194	1	3
3255	10494	11235	1	3
2683	10497	22999	1	12
3733	1050	7337	1	5
1299	1051	1649	1	75
4604	10514	55646	1	1
457	10524	126961	1	4
2346	10533	81631	1	39
1297	10534	10856	1	1
4052	10537	23542	1	1
2304	10539	57019	1	3
4228	10540	11258	1	2
157	10556	10940	1	10
1970	10564	57104	1	2
314	10567	84708	1	1
130	10572	50943	1	3
4392	10574	10575	1	15
2887	10576	64223	1	1
1427	1058	9212	1	87
3108	10580	10818	1	1
1961	10592	64151	1	7
631	10594	10921	1	3
1643	10613	84447	1	2
1960	10616	64127	1	1
262	10617	57132	1	3
4586	1062	5594	1	11
3456	10625	11100	1	3
3720	10634	30011	1	1
3605	10652	51272	1	9
2190	10657	23368	1	4
296	10664	23512	1	24
4013	10670	64121	1	6
633	10673	23495	1	116
317	10691	84676	1	5
4366	10694	22948	1	14
2219	1072	3984	1	99
2856	10735	23244	1	2
2978	10771	11244	1	1
1606	10783	91754	1	11
3924	10787	23191	1	8
751	10799	54913	1	9
1224	1080	51257	1	2
3969	10800	57105	1	43
2141	10801	30011	1	1
3598	10849	25885	1	2
2230	10856	26060	1	3
509	10892	23118	1	5
302	10902	55257	1	6
4634	10910	11243	1	1
3655	10919	10951	1	17
4505	10920	50813	1	11
2110	10921	11051	1	2
1863	10933	79728	1	2
3010	10938	30844	1	10
150	10946	22827	1	1
933	10951	84787	1	5
4282	10952	29927	1	56
2	10956	51148	1	1
1072	10959	64689	1	4
850	10971	26064	1	1
913	10972	54732	1	25
2021	10980	50813	1	5
2894	10987	64708	1	4
3758	10989	440574	1	2
831	11011	55723	1	4
2079	1104	5901	1	102
3379	11047	51377	1	6
1436	1105	54623	1	3
1624	11059	11060	1	14
3963	11060	154796	1	1
890	11065	51529	1	6
1811	1107	3065	1	17
1884	1108	53615	1	18
4038	11080	100505705	1	1
499	11091	58508	1	5
4258	1111	8451	1	17
1208	11130	79003	1	16
2609	11140	65018	1	7
361	11143	79960	1	1
3000	11152	55102	1	2
123	11160	83590	1	1
843	11184	29760	1	8
3833	11186	55201	1	4
2735	11218	50628	1	21
2276	11236	81502	1	3
3227	11243	79980	1	4
50	11252	29993	1	5
4427	11267	84313	1	13
3313	11275	59349	1	1
3509	11316	22820	1	3
2947	11335	23468	1	20
4234	11336	60412	1	69
2907	11337	64422	1	21
1974	11338	22827	1	9
1219	11339	54069	1	5
162	11340	56915	1	17
1664	11345	91754	1	2
3432	1147	3551	1	396
2852	1152	140462	1	2
3990	1153	3190	1	3
1990	1154	2690	1	16
2790	1158	140462	1	2
3328	1159	140462	1	1
3723	1161	2074	1	19
3985	1173	2060	1	4
4035	1175	1956	1	2
3508	1176	8943	1	1
947	1191	2547	1	5
3458	1193	23327	1	2
652	1196	79753	1	1
1940	1200	80169	1	4
3309	1201	23392	1	1
1515	1207	6634	1	3
2244	1211	10459	1	1
2107	1212	1213	1	7
3840	1213	84557	1	3
3531	1232	6352	1	196
1540	1244	4790	1	1
1782	1294	3911	1	1
4400	1308	3691	1	9
2500	1312	9319	1	1
4184	1314	22818	1	11
3967	1315	22820	1	4
2610	1316	6667	1	30
1380	1326	4790	1	25
3692	1385	4773	1	22
425	1386	2353	1	145
211	1387	5970	1	116
4471	1398	5296	1	20
3080	1399	9564	1	13
2028	1400	1808	1	14
1062	1407	1408	1	181
3880	1408	5187	1	107
2173	1409	1410	1	52
4048	1410	6622	1	2
4286	142	28992	1	1
12	143	9961	1	3
1132	1432	64333	1	2
1018	1445	1956	1	85
1743	1452	4193	1	22
1122	1453	4193	1	5
376	1454	8312	1	9
2981	1457	7529	1	2
4623	1459	1460	1	8
153	1460	9575	1	1
826	1482	4089	1	14
3656	1487	1488	1	30
1937	1488	5629	1	1
3464	1495	1956	1	12
2225	1499	284252	1	7
829	1500	2017	1	22
1963	1523	6657	1	10
2824	154	4734	1	2
3616	1540	10293	1	2
338	154796	154810	1	6
4657	160	1173	1	2
3658	1601	30011	1	3
4450	161	2060	1	2
1860	1615	3376	1	1
775	1616	11186	1	5
2785	162	1956	1	2
2450	1627	2885	1	1
3989	1628	1649	1	6
3165	163	1173	1	3
3976	1634	4233	1	1
987	1639	1780	1	2
2360	164	1213	1	6
4369	1642	51138	1	1
644	1643	7507	1	42
3981	1647	4193	1	117
4114	1649	8452	1	1
